Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18280973,BA1011/16,Portrait of James Richard Edwards,1915?,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"J.R. Edwards is sitting on a piano stool, wearing a slouch hat with emu plumes, bandolier, quirt and leather leggings. Photograph probably taken at time of enlistment in 1915.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Edwards, James Richard,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,016PD.jpg"
.b18280985,BA1011/17,Portrait of W.G. Evans,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,W.G. Evans is wearing a Service cap and puttees. There is paper stuck to the right hand side of the glass original.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Evans, W. G.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,017PD.jpg"
.b18281011,BA1011/18,Portrait of Private W. Elliott,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,Head and shoulders portrait of W. Elliott wearing a slouch hat.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Elliott, W.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,018PD.jpg"
.b18281047,BA1011/19,Portrait of Private H.S. Elton,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Head and shoulders portrait of H.S. Elton wearing slouch hat and collar badges. Masked with brown paper.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Elton, H. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,019PD.jpg"
.b18281369,BA1011/20,Portrait of Private S.S. Eastwood,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"S.S. Eastwood, a member of the Red Cross is wearing a Service cap, leather leggings and RAAMC.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Eastwood, S. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,020PD.jpg"
.b18281503,BA1011/21,Portrait of Private H. Evans,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Head and shoulders portrait of H. Evans, who is wearing an AIF badge on collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Evans, H.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,021PD.jpg"
.b18281539,BA1011/22,Portrait of J. Evass,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"J. Evass, of the 10th Australian Light Horse, is wearing a slouch hat with emu plumes, bandolier, quirt and leather leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Evass, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,022PD.jpg"
.b18281552,BA1011/23,"Portrait of P. Evan, Signaller",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Portrait of P. Evan, Signals, is wearing a Service cap.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Evan, P.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,023PD.jpg"
.b18281576,BA1011/24,Portrait of Private Eppy,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,Waist length portrait of Private Eppy.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Eppy,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,024PD.jpg"
.b18281606,BA1011/25,Portrait of G. Eppy,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"G. Eppy is seated, wearing a Slouch hat and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Eppy, G.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,025PD.jpg"
.b18281655,BA1011/26,Portrait of A. Pastburn,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"A. Pastburn is standing, wearing an AIF Service cap, puttees and collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Pastburn, A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,026PD.jpg"
.b18282866,BA1011/38,Portrait of F.R. Bennett,1914-1918.,1 photonegative :,,"F.R. Bennett, possibly Royal Flying Corps, is wearing a Field Service hat (soft), hat and collar badges and Australia bar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Bennett, F. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,038PD.jpg"
.b18282957,BA1011/39,Portrait of W.H. Browne,1914-1918.,1 photonegative :,,"W.H. Browne, of the 44th Battalion, is seated, wearing a felt hat with Australia badge at front. Possible wound strip on the left arm.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Browne, W. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,039PD.jpg"
.b18283019,BA1011/40,Portrait of Driver A. Johnstone,1914-1918.,1 photonegative :,,Portrait of 2 males and 2 females. One male is wearing a medal ribbon.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Johnstone, A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,040PD.jpg"
.b1828307x,BA1011/41,Portrait of Lance Corporal J.A. Laughton,1914-1918.,1 photonegative :,,J.A. Laughton is wearing a colour patch and collar badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 250 (S).,"Laughton, J. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,041PD.jpg"
.b18283147,BA1011/42,Portrait of P. Ferguson,1914-1918.,1 photonegative :,,"Waist length portrait of two soldiers who are seated, wearing slouch hats and AIF badges on collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 250 (S).,"Ferguson, P.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,042PD.jpg"
.b18283214,BA1011/43,Portrait of E.M. Rodgers,1914-1918.,1 photonegative :,,Group portrait of one civilian and five soldiers around a grave.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 250 (S).,"Rodgers, E. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,043PD.jpg"
.b18283329,BA1011/44,Portrait of Sergeant John Robert Imms,1914-1915.,1 negative :,,"J.R. Imms, of the 10th Australian Light Horse, is seated, wearing a slouch hat with plumes, medal ribbon, 4 wound stripes and ""ANZAC"" colour patch.;Adopted by Mr I.R.Pinkerton.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Imms, John Robert",Soldiers;Horsemen and horsewomen;Spurs;Online image.;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,044PD.jpg"
.b18283445,BA1011/45,Portrait of Chief Petty Officer(?) P.D. Murphy,1914-1918.,1 photonegative :,,"P.D. Murphy is wearing a naval uniform, Naval Petty officer peaked cap, badge with crossed hammer and axe, and collar and tie.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 250 (S).,"Murphy, P. D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,045PD.jpg"
.b18283500,BA1011/46,Portrait of P.D. Cairns,1914-1918.,1 photonegative :,Two images on one plate.,Head and shoulders portrait of P.D. Cairns wearing an AIF badge and glasses.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Cairns, P. D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,046PD.jpg"
.b1828355x,BA1011/47,Portrait of A.J. Brand,1914-1918.,1 photonegative :,,"Portrait of A.J. Brand wearing an AIF badge on collar, wound strip, three year service stripes and unusual buttons.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Brand, A. J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,047PD.jpg"
.b18283664,BA1011/48,Portrait of Sergeant F.F. Fitzpatrick,1914-1918.,1 photonegative :,,"F.F. Fitzpatrick is wearing a military medal ribbon with 1914/1918 Star and AIF badges. Portrait is endorsed ""yours truly Fitz"".;Adopted by Ms Teresa Porter.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Fitzpatrick, F. F.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,048PD.jpg"
.b18283706,BA1011/49,Portrait of Lieutenant F. McIver,1914-1918.,1 photonegative :,,"Head and shoulders portrait of F. McIver, of the 16th Battalion, wearing a slouch hat.;Adopted by Mrs P.L.Reid.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"McIver, F.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,049PD.jpg"
.b18283731,BA1011/50,Portrait of Laurence Alexander Bryant,1916,1 photonegative :,,"L. Bryant, of the 10th Australian Light Horse, is seated writing at a table, on which is sitting a hat with emu plumes. Insert is a female head.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Bryant, Laurence Alexander",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,050PD.jpg"
.b18283743,BA1011/51,Portrait of Lieutenant F. McIver,1914-1918.,1 photonegative :,,"F. McIver, of the 16th Battalion, is standing, wearing puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"McIver, F.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,051PD.jpg"
.b18283779,BA1011/52,Portrait of Lieutenant Gaby,1914-1918.,1 photonegative :,,"F. Gaby, of the 51st Battalion, is standing, wearing a Victoria Cross, hat and holding a cane.;Adopted by Sunny Wernicke.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 250 (S).,"Gaby,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,052PD.jpg"
.b18284000,BA1011/65,Portrait of E.K. Robertson,1914-1918.,1 photonegative :,,"E.K. Robertson is seated, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Robertson, E. K.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,065PD.jpg"
.b1828405x,BA1011/66,Portrait of Rafferty,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Rafferty, of the 16th Battalion, who is seated.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,Rafferty,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,066PD.jpg"
.b18284140,BA1011/67,Portrait of Sergeant Robertson,1915,1 photonegative :,,"Sergeant Robertson is seated, wearing Field Service cap, puttees and 11th Battalion on epaullette, with a stick and .303 cartridges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 876.,"Robertson,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,067PD.jpg"
.b18284188,BA1011/68,Portrait of Driver Peak,1914-1918.,1 photonegative :,,"Possibly Sidney William Peak of Boyanup who was a driver of the 48th Battalion  and the 2nd Pioneer Battalion.;Peak is wearing a Field Service cap, leather leggings, spurs and holding a riding quirt.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 876.,"Peak,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,068PD.jpg"
.b18284231,BA1011/69,Portrait of H. Raymond,1914-1918.,1 photonegative :,,"H. Raymond is seated, wearing puttees, with hat in hand.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Raymond, H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,069PD.jpg"
.b18284255,BA1011/70,Portrait of Sergeant Renner,1914-1918.,1 photonegative :,,"Sergeant Renner is seated, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Renner,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,070PD.jpg"
.b18284292,BA1011/71,Portrait of Neil Robertson,1915,1 photonegative :,Dated: 23.10.1915.,"Neil Robertson is wearing a slouch hat, AIF collar badge and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Robertson, Neil",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,071PD.jpg"
.b18284309,BA1011/72,Portrait of Sergeant Renner,1914-1918.,1 photonegative :,,"Sergeant Renner is seated, wearing AIF collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Renner,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,072PD.jpg"
.b18284383,BA1011/73,Portrait of Middleton (civilian),1914-1918.,1 photonegative :,,"Middleton, a civilian, is wearing a YMCA lapel badge(?)","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,Middleton,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,073PD.jpg"
.b18284449,BA1011/74,Portrait of Driver Dobell,1914-1918.,1 photonegative :,,"Dobell, of the 51st Battalion, is seated, wearing a leather leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 876.,"Dobell,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,074PD.jpg"
.b18284504,BA1011/75,"Portrait of two soldiers, one of whom is M. Rees",1914-1918.,1 photonegative :,,"Portrait of two soldiers, corporal is seated, private standing.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 876.,"Rees, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,075PD.jpg"
.b18284541,BA1011/76,Portrait of Driver Reardon,1914-1918.,1 photonegative :,,"Reardon is squatting, wearing a Field Service cap, leather leggings, spurs and quirt.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 876.,"Reardon,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,076PD.jpg"
.b18284565,BA1011/77,Portrait of Private E.A. Rieusart,1914-1918.,1 photonegative :,,"Portrait of two soldiers, one of whom is E.A. Rieusart. One is wearing leggings and spurs, the other wearing puttees. Both are wearing Field Service caps.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 876.,"Rieusart, E. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,077PD.jpg"
.b1828954x,BA1011/92,Portrait of Corporal T.S. Drummond,1914-1918.,1 photonegative :,,"T.S. Drummond is wearing a Field Service cap, puttees and AIF badges on cap and collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Drummond, T. S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,092PD.jpg"
.b18289551,BA1011/93,"Portrait of two soldiers, one of whom is R. Applin",1914-1918.,1 photonegative :,,"Portrait of two soldiers, one standing, one sitting, both wearing Field Service caps, puttees and badges on cap and collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Applin, R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,093PD.jpg"
.b18289575,BA1011/94,Portrait of Lieutenant Henry Thomas Crouch,1914,1 photonegative :,Probably taken on enlistment in 1914.,Lieutenant Crouch of the 16th Battalion. His face is obscured.;Adopted by R. MacDougall.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Crouch, Henry Thomas",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,094PD.jpg"
.b18289587,BA1011/95,Portrait of H.W. Ween,1914-1918.,1 photonegative :,,"H.W. Ween is wearing a Field Service cap, puttees and badges on cap and collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Ween, H. W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,095PD.jpg"
.b18289605,BA1011/96,Portrait of Lieutenant Tom Taylor,1914-1918.,1 photonegative :,Two images on one plate.,"Half-length portrait of Lieutenant Tom Taylor of the 16th Battalion, who is wearing a Field Service cap and greatcoat. (Possibly wearing a hat badge.)","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Taylor, Tom",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,096PD.jpg"
.b18289629,BA1011/97,Portrait of E.W. Whittington,1914-1918.,1 photonegative :,,"Head and shoulders portrait of E.W. Whittington, who is wearing collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Whittington, E. W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,097PD.jpg"
.b18289642,BA1011/98,Portrait of R.C. Foster,1914-1918.,1 photonegative :,Two images on one plate.,Half-length portrait of R.C. Foster who is wearing AIF collar badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Foster, R. C.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,098PD.jpg"
.b18289654,BA1011/99,Portrait of A.R. Williams,1914-1918.,1 photonegative :,Two images on one plate.,"A.R. Williams is wearing a Field Service cap, collar badges and a neck bandage.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 201 (S),"Williams, A. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,099PD.jpg"
.b1828968x,BA1011/100,Portrait of Corporal T.S. Drummond,1914-1918.,1 negative :,This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,T.S. Drummond is wearing a Field Service cap and collar badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Drummond, T. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,100PD.jpg"
.b18289691,BA1011/101,Portrait of Private Joe Pyne,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Joe Pyne is standing, wearing AIF collar badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Pyne, Joe",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,101PD.jpg"
.b18289885,BA1011/102,Portrait of Private Shaw,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Half-length portrait of Private Shaw, who is wearing a Field Service cap, collar and cap badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Shaw,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,102PD.jpg"
.b18289915,BA1011/103,Portrait of Sergeant S. J. Kerr,1916,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Sergeant Kerr is wearing a Field Service cap and greatcoat.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Kerr, Samuel Joseph",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,103PD.jpg"
.b18289927,BA1011/104,Portrait of Sergeant Shaw,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Sergeant Shaw is seated, wearing a Field Service cap and great coat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Shaw,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,104PD.jpg"
.b1829117x,BA1011/177,"Portrait of two soldiers, one of whom is J. Rowe",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of two figures, one of whom is J. Rowe, wearing Field Service caps and puttees. One is standing, one is sitting.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Rowe, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,177PD.jpg"
.b18291181,BA1011/178,Portrait of Sergeant Colin Brown,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Waist length portrait of Colin Brown, who is wearing a Field Service cap, greatcoat and badge.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Brown, Colin",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,178PD.jpg"
.b18291223,BA1011/179,Portrait of Private E.H. Smith,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"E.H. Smith of the 10th Australian Light Horse, is standing, wearing a hat with plumes, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Smith, E. H.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,179PD.jpg"
.b18291259,BA1011/180,Portrait of Private E.N. Touzer and Private H.J. Armstrong,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of Private Touzer and Private Armstrong, wearing puttees. One is standing, one is sitting.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Touzer, E. N.;Armstrong, H. J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,180PD.jpg"
.b18291260,BA1011/181,Portrait of Private Whittaker and Private Roberts,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of Private Whittaker (seated) and Private Roberts (standing), wearing collar badges and puttees. ","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Whittaker;Roberts,Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,181PD.jpg"
.b18291272,BA1011/182,Portrait of Private Whittaker,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Waistlength portrait of Private Whittaker, wearing collar badges and ""INF"" on one shoulder.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Whittaker,Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,182PD.jpg"
.b18291284,BA1011/183,Portrait of M.S. Massey,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,M.S. Massey is wearing collar badges and a greatcoat.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Massey, M. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,183PD.jpg"
.b18291302,BA1011/184,Portrait of D. Irving,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"D. Irving, of the 11th Battalion, is seated, wearing puttees; his hat is beside him.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Irving, D.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,184PD.jpg"
.b18291314,BA1011/185,"Portrait of F. Farmer, Medical Corps",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"F. Farmer, of the Medical Corps, is wearing a Field Service cap and AIF badge.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Farmer, F.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,185PD.jpg"
.b18291326,BA1011/186,Portrait of Private W.S. Curtis,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Curtis is wearing a slouch hat, bandolier, quirt, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Curtis, W. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,186PD.jpg"
.b18291338,BA1011/187,Portrait of Lieutenant Cook,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Lieutenant Cook, of the 10th Australian Light Horse, is seated, wearing a hat with plumes, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Cook,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,187PD.jpg"
.b1829134x,BA1011/188,Portrait of Private Cappo,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Cappo is half seated, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Cappo,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,188PD.jpg"
.b18291351,BA1011/189,Portrait of Andrew Cunningham,1916,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Cunningham of the 11th Battalion, is wearing badges on collar, puttees and holding a cane. Photograph probably taken at time of enlistment or embarkation, 1916.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Cunningham, Andrew",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,189PD.jpg"
