Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b37051246,6435B,,"Group of New Zealand soldiers in Mrs. Brahm's car, Albany.",1916,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original photograph in private hands. Lent to the library for copying.,,,Soldiers;Hupmobile (Automobile),,"6435B: Group of New Zealand soldiers in Mrs. Brahm's car, Albany, 1916",http://purl.slwa.wa.gov.au/slwa_b3705124_2;http://purl.slwa.wa.gov.au/slwa_b3705124_2.png
b37051258,6436B,,Group of unidentified New Zealand army officers in Albany.,1916,1 negative :,Title supplied by cataloguer from inofrmation supplied by donor.;Original in private hands. Lent to the library for copying.,,,Soldiers,,"6436B: Unidentified New Zealand army officers in Albany, 1916;6438B: Unidentified New Zealand army officers in Albany, 1916",http://purl.slwa.wa.gov.au/slwa_b3705125_3;http://purl.slwa.wa.gov.au/slwa_b3705125_2;http://purl.slwa.wa.gov.au/slwa_b3705125_3.png;http://purl.slwa.wa.gov.au/slwa_b3705125_2.png
b37051283,6437B,,"New Zealand troopship, Albany.",1916,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original in private hands. Lent to the library for copying.,,,Troopships,,"6437B: New Zealand troopship, Albany, 1916",http://purl.slwa.wa.gov.au/slwa_b3705128_2;http://purl.slwa.wa.gov.au/slwa_b3705128_2.png
b37059828,6438B,,"New Zealand army band marching along Marine Drive, Albany.",1916,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original in private hands. Lent to the library for copying.,,,Military bands;Marching bands,,"6438B: New Zealand army band marching along Marine Drive, Albany, 1916",http://purl.slwa.wa.gov.au/slwa_b3705982_2;http://purl.slwa.wa.gov.au/slwa_b3705982_2.png
b37066468,6439B,,Maori New Zealand soldiers marching at Albany.,1916,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original in private hands. Lent to the library for copying.,,,Soldiers,,"6439B: Maori New Zealand soldiers marching at Albany, 1916",http://purl.slwa.wa.gov.au/slwa_b3706646_2;http://purl.slwa.wa.gov.au/slwa_b3706646_2.png
b37076073,6467B,,Group of New Zealand officers in uniform at Albany.,1917,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original in private hands. Lent to the library for copying.,,,Soldiers;Albany (W.A.),,"6467B: New Zealand officers in uniform at Albany, 1917",http://purl.slwa.wa.gov.au/slwa_b3707607_2;http://purl.slwa.wa.gov.au/slwa_b3707607_2.png
b37076097,6468B,,Group of New Zealand soldiers at Albany.,1917,1 negative :,Title supplied by cataloguer from information supplied by donor.;Original in private hands. Lent to the library for copying.,,,Soldiers,,"6468B: New Zealand soldiers at Albany, 1917",http://purl.slwa.wa.gov.au/slwa_b3707609_2;http://purl.slwa.wa.gov.au/slwa_b3707609_2.png
b37079050,6494B,,"Soldier breaking a horse at the 10th Light Horse Regiment camp, Guildford.",1915,1 negative :,Title supplied by donor.,,,Horses;Military training camps;Soldiers,,"6494B: Soldier breaking a horse at the 10th Light Horse Regiment camp, Guildford, 1915",http://purl.slwa.wa.gov.au/slwa_b3707905_1;http://purl.slwa.wa.gov.au/slwa_b3707905_1.png
b37079244,6501B,,"10th Light Horse Regiment march from Claremont Showgrounds, 6 January 1915.",1915,1 photograph :,"Title supplied by cataloguer from information in history of the 10th Light Horse.;Original in private hands. Lent to the library for copying.;This event is described in Westralian cavalry in the war : the story of the tenth Light Horse Regiment, A.I.F., in the Great War, 1914-1918 / by A.C.N. Olden (reprinted 2001), p.18-19.",,,Cavalry;Horses;Soldiers,,"6501B: 10th Light Horse Regiment march from Claremont Showgrounds, 6 January 1915",http://purl.slwa.wa.gov.au/slwa_b3707924_2;http://purl.slwa.wa.gov.au/slwa_b3707924_2.png
b37100956,6546B,"Lafayette Dease Studios,","Harold Devenish, May 1916 /",1916,1 photograph :,"Caption title.;Autographed: Yours affectionately Harold Devenish, May 1916.",,"Devenish, Harold Arthur,;Devenish, Harold Arthur,",Soldiers,,"6546B: Harold Devenish, May 1916",http://purl.slwa.wa.gov.au/slwa_b3710095_2;http://purl.slwa.wa.gov.au/slwa_b3710095_2.png
b3732066x,BA2543,,"Portraits of soldiers including Private Frederick George Miller, Francis Phillips and Ted Marsden.",1914-1918.,4 photographs :,"Title devised by cataloguer.;A portrait of Frederick Miller appears in The Western Mail newspaper, 15 September 1916, p. 23.;A portrait of Francis Herbert Phillips appears in Australia's Fighting Sons on the Empire, p.245.",,"Miller, Frederick George;Marsden, Ted;Marsden, Edwin,;Phillips, Fred;Phillips, Francis Herbert,",Soldiers;Online image.,,"BA2543/1: Frederick George Miller, 1915?;BA2543/2: Edwin 'Ted' Marsden (left) and Francis Herbert 'Fred' Phillips, 1917;BA2543/3: Unidentified soldier, 1914-1918;BA2543/4: Unidentified soldier, 1914-1918",http://purl.slwa.wa.gov.au/slwa_b3732066_5;http://purl.slwa.wa.gov.au/slwa_b3732066_6;http://purl.slwa.wa.gov.au/slwa_b3732066_7;http://purl.slwa.wa.gov.au/slwa_b3732066_8;http://purl.slwa.wa.gov.au/slwa_b3732066_5.png;http://purl.slwa.wa.gov.au/slwa_b3732066_6.png;http://purl.slwa.wa.gov.au/slwa_b3732066_7.png;http://purl.slwa.wa.gov.au/slwa_b3732066_8.png
b37845809,BA1772/84,,"Miss Faulls selling tickets to Norrie Gill for the Trench Comforts Fund, Morawa.",approximately 1914.,1 negative :,Title taken from caption.;Caption: Miss Faulls selling ticket to Dad (Norrie Gill) for Trench Comfort Fund.,,"Gill, Norris;Faulls, Miss","Fundraising;World War, 1914-1918;Online image.",,"029541PD:Miss Faulls selling tickets to Norrie Gill for the Trench Comforts Fund, Morawa.",http://purl.slwa.wa.gov.au/slwa_b3784580_1;http://purl.slwa.wa.gov.au/slwa_b3784580_1.png
b37846589,BA1772/85,,"Portrait of women involved in collecting funds for the Trench Comforts Fund, Merkanooka.",approximately 1918.,1 negative :,"Title supplied by cataloguer.;Caption: Merkanooka ladies (Mrs Monty White with baby).;Baby identified as Alison Lane, nee White.",,"White, Gertude Dorothy,;Lane, Alison Mary,","Fundraising;Women;World War, 1914-1918;Online image.",,"029542PD: Women involved in collecting funds for the Trench Comforts Fund, Merkanooka, ca. 1918. Gertrude White with baby Alison",http://purl.slwa.wa.gov.au/slwa_b3784658_1;http://purl.slwa.wa.gov.au/slwa_b3784658_1.png
b37929264,3051B/45,,"Winter day, Blackboy, with 32nd Battalion in camp.",1914-1918.,1 photograph :,Title provided by donor.,,,Military training camps;Winter;Tents;Soldiers;Rain and rainfall;Online image.,Blackboy Hill (W.A.),"3051B/45: Winter day, Blackboy, with 32nd Battalion in camp, 1914-1918",http://purl.slwa.wa.gov.au/slwa_b3792926_1;http://purl.slwa.wa.gov.au/slwa_b3792926_1.png
b37929276,3314B/117,,Australian troops bathing at Gallipoli.,1915,1 photograph :,Title provided by donor.,Australian soldiers relax in the sea with the cliffs of Gallipoli behind them.,,"Soldiers;World War, 1914-1918;Swimming;Online image.",,"3314B/117: Australian troops bathing at Gallipoli, 1915",http://purl.slwa.wa.gov.au/slwa_b3792927_1;http://purl.slwa.wa.gov.au/slwa_b3792927_1.png
b3792929x,3915B/10,,Soldiers evacuated from Gallipoli in a ward of the 3rd Australian General Hospital at West Mudros.,1915,1 photograph :,Title devised by cataloguer from donor information.,"The island of Lemnos became the location of the major Allied medical hospitals supporting the Gallipoli campaign. Two Australia field hospitals would be established on the island ?Çô the 3rd Australian General Hospital (AGH) at West Mudros and the 2nd Australian Stationary Hospital (ASH) at East Mudros, staffed with Australian nurses of the Australian Army Nursing Service (as well as nurses from the civilian nursing profession) (http://lemnosgallipolicc.blogspot.com.au/p/nurses-on-lemnos.html)",,"Soldiers;World War, 1914-1918;World War, 1914-1918;World War, 1914-1918;Soldiers;Nurses;Medicine, Military;War casualties;Online image.",,"3915B/10: Soldiers evacuated from Gallipoli in a ward of the 3rd Australian General Hospital at West Mudros, 1915",http://purl.slwa.wa.gov.au/slwa_b3792929_1;http://purl.slwa.wa.gov.au/slwa_b3792929_1.png
b37929343,BA718/1-7,,Embroidered postcards from Western Australian Soldiers in France and Belgium to friends and family at home.,1915-1917.,7 postcards :,"Title devised by cataloguer.;Most of the postcards consist of an embroidered front, a back for writing on and an insert which slipped into the card and had a blank back for writing on and often an embroidered front.",BA718/1 was sent by Leslie (Albert Joseph Leslie) Caple in Belgium to Miss Olive Abraham 26th October 1917. BA718/2 was sent from Basil (Herbert Basil) Abraham to his father Herbert Abraham 31 December 1915. BA718/3 was sent from Eddie to his parents from France 19th May (1915-1917?). BA718/4 was sent from Basil Abraham to his sister Olive Abraham (no date). BA718/5 was sent from Bob (Robert) Forrest No.4426 to his sister Nora from France 25th June 1916. Robert Forrest was killed in action 7 November 1916. BA718/6 was sent from Leslie Caple to Miss Olive Abraham 1st April 1917. BA718/7 was sent from Basil Abraham to his mother Mrs Violet Abraham from France Christmas 1915.,"Caple, Leslie (Albert Joseph Leslie),;Abraham, Basil (Herbert Basil),;Forrest, Robert,","Postcards;Soldiers;World War, 1914-1918;Online image.",,"BA718/1 front: Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham, from Belgium 26th October 1917;BA718/1 back: Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham, from Belgium 26th October 1917;BA718/1 insert front: Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham, from Belgium 26th October 1917;BA718/1 insert back: Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham, from Belgium 26th October 1917;BA718/2 front: From Basil (Herbert Basil) Abraham to his father Herbert Abraham from France, 31 December 1915;BA718/2 back: From Basil (Herbert Basil) Abraham to his father Herbert Abraham from France, 31 December 1915;BA718/2 insert front: From Basil (Herbert Basil) Abraham to his father Herbert Abraham from France, 31 December 1915;BA718/2 insert back: From Basil (Herbert Basil) Abraham to his father Herbert Abraham from France, 31 December 1915;BA718/3 front: From Eddie to his parents from France, 1915-1917?;BA718/3 back: From Eddie to his parents from France, 1915-1917?;BA718/4 front: From Basil (Herbert Basil) Abraham to his sister Olive from France, 1915?;BA718/4 back: From Basil (Herbert Basil) Abraham to his sister Olive from France, 1915?;BA718/5 front: From Robert Forrest to his sister Nora from France, 25th June 1916;BA718/5 back: From Robert Forrest to his sister Nora from France, 25th June 1916;BA718/6 front: From Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham from France, 1st April 1917;BA718/6 back: From Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham from France, 1st April 1917;BA718/6 insert front: From Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham from France, 1st April 1917;BA718/6 insert back: From Leslie (Albert Joseph Leslie) Caple to Miss Olive Abraham from France, 1st April 1917;BA718/7 front: From Basil (Herbert Basil) Abraham to his mother Mrs Violet Abraham, from France, Christmas 1915;BA718/7 back: From Basil (Herbert Basil) Abraham to his mother Mrs Violet Abraham, from France, Christmas 1915;BA718/7 insert: From Basil (Herbert Basil) Abraham to his mother Mrs Violet Abraham, from France, Christmas 1915",http://purl.slwa.wa.gov.au/slwa_b3792934_1;http://purl.slwa.wa.gov.au/slwa_b3792934_2;http://purl.slwa.wa.gov.au/slwa_b3792934_3;http://purl.slwa.wa.gov.au/slwa_b3792934_4;http://purl.slwa.wa.gov.au/slwa_b3792934_5;http://purl.slwa.wa.gov.au/slwa_b3792934_6;http://purl.slwa.wa.gov.au/slwa_b3792934_7;http://purl.slwa.wa.gov.au/slwa_b3792934_8;http://purl.slwa.wa.gov.au/slwa_b3792934_9;http://purl.slwa.wa.gov.au/slwa_b3792934_10;http://purl.slwa.wa.gov.au/slwa_b3792934_11;http://purl.slwa.wa.gov.au/slwa_b3792934_12;http://purl.slwa.wa.gov.au/slwa_b3792934_13;http://purl.slwa.wa.gov.au/slwa_b3792934_14;http://purl.slwa.wa.gov.au/slwa_b3792934_15;http://purl.slwa.wa.gov.au/slwa_b3792934_16;http://purl.slwa.wa.gov.au/slwa_b3792934_17;http://purl.slwa.wa.gov.au/slwa_b3792934_18;http://purl.slwa.wa.gov.au/slwa_b3792934_19;http://purl.slwa.wa.gov.au/slwa_b3792934_20;http://purl.slwa.wa.gov.au/slwa_b3792934_21;http://purl.slwa.wa.gov.au/slwa_b3792934_1.png;http://purl.slwa.wa.gov.au/slwa_b3792934_2.png;http://purl.slwa.wa.gov.au/slwa_b3792934_3.png;http://purl.slwa.wa.gov.au/slwa_b3792934_4.png;http://purl.slwa.wa.gov.au/slwa_b3792934_5.png;http://purl.slwa.wa.gov.au/slwa_b3792934_6.png;http://purl.slwa.wa.gov.au/slwa_b3792934_7.png;http://purl.slwa.wa.gov.au/slwa_b3792934_8.png;http://purl.slwa.wa.gov.au/slwa_b3792934_9.png;http://purl.slwa.wa.gov.au/slwa_b3792934_10.png;http://purl.slwa.wa.gov.au/slwa_b3792934_11.png;http://purl.slwa.wa.gov.au/slwa_b3792934_12.png;http://purl.slwa.wa.gov.au/slwa_b3792934_13.png;http://purl.slwa.wa.gov.au/slwa_b3792934_14.png;http://purl.slwa.wa.gov.au/slwa_b3792934_15.png;http://purl.slwa.wa.gov.au/slwa_b3792934_16.png;http://purl.slwa.wa.gov.au/slwa_b3792934_17.png;http://purl.slwa.wa.gov.au/slwa_b3792934_18.png;http://purl.slwa.wa.gov.au/slwa_b3792934_19.png;http://purl.slwa.wa.gov.au/slwa_b3792934_20.png;http://purl.slwa.wa.gov.au/slwa_b3792934_21.png
b37931556,,"MacLeod, Julius Farquhar Wallace,","Letter from Galliopoli written by Julius Farquhar Wallace MacLeod, June 1915.",1915,1 cardboard cigarette packet (unfolded) ,,"Letter written on a cigarette packet, signed ""Julius of Talisker"", to his sister, ""Thel"", includes typescript of the original letter. The letter was written during the Gallipoli Campaign and briefly describes an armistice to bury the dead Turkish soldiers, mentions the garden at Talisker and adjures his sister to take great care of their mother.","MacLeod, Julius Farquhar Wallace,;MacLeod, Julius Farquhar Wallace,","World War, 1914-1918;Soldiers",,"ACC 8897A: Letter from Gallipoli written by J.F.W. MacLeod on cigarette packet, front, June 1915;ACC 8897A: Letter from Gallipoli written by J.F.W. MacLeod on cigarette packet, back, June 1915;ACC 8897A: Transcript of letter from Gallipoli written by J.F.W. MacLeod written on cigarette packet",http://purl.slwa.wa.gov.au/slwa_b3793155_4;http://purl.slwa.wa.gov.au/slwa_b3793155_5;http://purl.slwa.wa.gov.au/slwa_b3793155_6;http://purl.slwa.wa.gov.au/slwa_b3793155_4.png;http://purl.slwa.wa.gov.au/slwa_b3793155_5.png;http://purl.slwa.wa.gov.au/slwa_b3793155_6.png
b3799945x,2953B/1,,"Citizen Military Forces camp at Rockingham, Easter 1915.",1915,1 lantern slide :,Title supplied by cataloguer.,,,Online image.;Army camps;Tents,,"230655PD: Citizen Military Forces camp at Rockingham, Easter 1915.",http://purl.slwa.wa.gov.au/slwa_b3799945_1;http://purl.slwa.wa.gov.au/slwa_b3799945_1.png
b37999461,2953B/2,,"Gunner G. Gibb Maitland on horse at Rockingham, Easter 1915.",1915,1 lantern slide :,Title supplied by cataloguer.,Written on the back of the photograph: Now doctor.,"Maitland, George Brumfitt Gibb,",Online image.;Soldiers;Horses,,"230656PD: Gunner George Gibb Maitland training at Rockingham, Easter 1915.",http://purl.slwa.wa.gov.au/slwa_b3799946_1;http://purl.slwa.wa.gov.au/slwa_b3799946_1.png
b37999473,"2953B/3, 7",,"Soldiers of Section A at artillery camp, Guildford.",between 1915 and 1918.,2 negatives :,Title supplied by cataloguer.,,,Online image.;Soldiers,,"304222PD: Soldiers of Section A at artillery camp, Guildford, between 1915 and 1918.;304226PD: Soldiers of Section A at artillery camp, Guildford, between 1915 and 1918.",http://purl.slwa.wa.gov.au/slwa_b3799947_1;http://purl.slwa.wa.gov.au/slwa_b3799947_2;http://purl.slwa.wa.gov.au/slwa_b3799947_1.png;http://purl.slwa.wa.gov.au/slwa_b3799947_2.png
b37999485,2953B/4,,"Artillery Camp J, Guildford.",between 1915 and 1918.,1 negative :,A44 inscribed on reverse of negative.;Title supplied by cataloguer.,,,Online image.;Military training camps,,"304223PD: Artillery Camp J, Guildford, between 1915 and 1918.",http://purl.slwa.wa.gov.au/slwa_b3799948_1;http://purl.slwa.wa.gov.au/slwa_b3799948_1.png
b37999503,2953B/5-6,,Artillery training at Guildford.,1916,2 negatives :,Title supplied by cataloguer.,,,Online image.;Soldiers;Artillery;Military training camps,,"304224PD: Artillery training at Guildford, 1916.;304225PD: Artillery training at Guildford, 1916.",http://purl.slwa.wa.gov.au/slwa_b3799950_1;http://purl.slwa.wa.gov.au/slwa_b3799950_2;http://purl.slwa.wa.gov.au/slwa_b3799950_1.png;http://purl.slwa.wa.gov.au/slwa_b3799950_2.png
b38000404,2953B/8,,"Suspension bridge at artillery camp, Guildford.",1916,1 negative :,A58 inscribed on reverse of negative.;Title supplied by cataloguer.,,,Online image.;Suspension bridges;Military training camps,,"304227PD: Suspension bridge at artillery camp, Guildford, 1916.",http://purl.slwa.wa.gov.au/slwa_b3800040_1;http://purl.slwa.wa.gov.au/slwa_b3800040_1.png
b3800043x,2953B/10-11,,28th Battalion parading along Barrack Street.,1916,2 negatives :,Title supplied by cataloguer.,,,Online image.;Military parades & ceremonies;Soldiers,"Barrack Street (Perth, W.A.)","304228PD: 28th Battalion parading along Barrack Street, 1916.;304229PD: 28th Battalion parading along Barrack Street, 1916.",http://purl.slwa.wa.gov.au/slwa_b3800043_1;http://purl.slwa.wa.gov.au/slwa_b3800043_2;http://purl.slwa.wa.gov.au/slwa_b3800043_1.png;http://purl.slwa.wa.gov.au/slwa_b3800043_2.png
b38000441,2953B/13-20,,"Red Cross procession, Barrack Street, Perth.",1917 and 1918.,8 negatives :,Title supplied by cataloguer.,,,Online image.;Military parades & ceremonies;Soldiers;Trams;Parade floats;Fire engines;Motorcycle sidecars,,"304231PD: Band playing, Red Cross procession, Barrack Street, Perth, 1917.;304232PD: Parade float in shape of tank, Red Cross procession, Barrack Street, Perth, 1917.;304233PD: Parade float, Red Cross procession, Barrack Street, Perth, 1917.;304234PD: Fire engine, Red Cross procession, Barrack Street, Perth, 1917.;304440PD: Red Cross procession, Barrack Street, Perth, 1918.;304441PD: Motorcycle and sidecar, Red Cross procession, Barrack Street, Perth, 1918.;304442PD: Red Cross procession, Barrack Street, Perth, 1918.;304443PD: Soldiers marching, Red Cross procession, Barrack Street, Perth, 1918.",http://purl.slwa.wa.gov.au/slwa_b3800044_1;http://purl.slwa.wa.gov.au/slwa_b3800044_2;http://purl.slwa.wa.gov.au/slwa_b3800044_3;http://purl.slwa.wa.gov.au/slwa_b3800044_4;http://purl.slwa.wa.gov.au/slwa_b3800044_5;http://purl.slwa.wa.gov.au/slwa_b3800044_6;http://purl.slwa.wa.gov.au/slwa_b3800044_7;http://purl.slwa.wa.gov.au/slwa_b3800044_8;http://purl.slwa.wa.gov.au/slwa_b3800044_1.png;http://purl.slwa.wa.gov.au/slwa_b3800044_2.png;http://purl.slwa.wa.gov.au/slwa_b3800044_3.png;http://purl.slwa.wa.gov.au/slwa_b3800044_4.png;http://purl.slwa.wa.gov.au/slwa_b3800044_5.png;http://purl.slwa.wa.gov.au/slwa_b3800044_6.png;http://purl.slwa.wa.gov.au/slwa_b3800044_7.png;http://purl.slwa.wa.gov.au/slwa_b3800044_8.png
b38002577,"2953B/21, 23-24, 26",,French troops from New Caledonia parading along Barrack Street.,1918,4 negatives :,Title supplied by cataloguer.,,,Online image.;New Caledonia;Military parades & ceremonies;Soldiers,"Barrack Street (Perth, W.A.)","304449PD: French troops from New Caledonia parading along Barrack Street, 1918.;304446PD: French troops from New Caledonia parading along Barrack Street, 1918.;304447PD: French troops from New Caledonia parading along Barrack Street, 1918.;304444PD: French troops from New Caledonia parading along Barrack Street, 1918.",http://purl.slwa.wa.gov.au/slwa_b3800257_1;http://purl.slwa.wa.gov.au/slwa_b3800257_2;http://purl.slwa.wa.gov.au/slwa_b3800257_3;http://purl.slwa.wa.gov.au/slwa_b3800257_4;http://purl.slwa.wa.gov.au/slwa_b3800257_1.png;http://purl.slwa.wa.gov.au/slwa_b3800257_2.png;http://purl.slwa.wa.gov.au/slwa_b3800257_3.png;http://purl.slwa.wa.gov.au/slwa_b3800257_4.png
b38002863,"2953B/22, 25",,Military band marching along Barrack Street.,1918,2 negatives :,Title supplied by cataloguer.,,,Online image.;Military bands;Military parades & ceremonies;Soldiers,"Barrack Street (Perth, W.A.)","304448PD: Military band marching along Barrack Street, 1918.;304445PD: Military band marching along Barrack Street, 1918.",http://purl.slwa.wa.gov.au/slwa_b3800286_1;http://purl.slwa.wa.gov.au/slwa_b3800286_2;http://purl.slwa.wa.gov.au/slwa_b3800286_1.png;http://purl.slwa.wa.gov.au/slwa_b3800286_2.png
b38002930,2953B/27,,"End of war celebrations, Hay Street, Perth.",1918,1 lantern slide :,Title supplied by cataloguer.,Perth celebrates the end of the First World War (WWI) also known as the Great War.,,"Online image.;World War, 1914-1918;Victory celebrations",Hay Street (W.A.),"230614PD: End of war celebrations, Hay Street, 1918.",http://purl.slwa.wa.gov.au/slwa_b3800293_1;http://purl.slwa.wa.gov.au/slwa_b3800293_1.png
b38785523,6802B,,"Dudley Lukin, 10th Light Horse.",approximately 1914.,1 photograph :,Dudley Lukin was killed in action at Gallipoli 7 August 1915.;Title provided by donor.;A copy print held by library. Original print in private hands.,,"Lukin, Dudley,",Soldiers;Online image.,,"6802B: Dudley Lukin, 10th Light Horse, ca. 1914",http://purl.slwa.wa.gov.au/slwa_b3878552_1;http://purl.slwa.wa.gov.au/slwa_b3878552_1.png
b38785535,6803B,,Lionel Roy Lukin.,approximately 1915.,1 photograph :,Title provided by donor.;Lionel Lukin was killed in action in France 10 June 1918.;A copy print held by library. Original print in private hands.,,"Lukin, Lionel Roy,",Soldiers;Online image.,,"6803B: Lionel Roy Lukin, ca. 1915",http://purl.slwa.wa.gov.au/slwa_b3878553_1;http://purl.slwa.wa.gov.au/slwa_b3878553_1.png
b39292848,3045B/43,,"AIF march through Perth, 26 September 1914.",1914,1 photograph :,"Title created by cataloguer from donor information.;This parade was announced in the West Australian 24 September 1914, p.5. It consisted of the 11th Battalion and 12th Battalion who marched from the Perth Railway Station, along Wellington Street, Barrack Street, Hay Street, Victoria Avenue, St George's Terrace to Government House.",,,"Soldiers;Military parades and ceremonies;World War, 1914-1918;Online image.",,"3045B/43: AIF march through Perth, 26 September 1914",http://purl.slwa.wa.gov.au/slwa_b3929284_1;http://purl.slwa.wa.gov.au/slwa_b3929284_1.png
b39292939,3045B/44,,"Encampment of the 3rd Brigade, 1st Australian Division, 1st AIF at Mena Camp near the base of the Great Pyramid at Giza, December 1914.",1914,1 photograph :,Title created by cataloguer from donor information.,,,"Soldiers;World War, 1914-1918;Military camps, Australian;Online image.",Mena Camp (Egypt),"3045B/44: Encampment of the 3rd Brigade, 1st Australian Division, 1st AIF at Mena Camp near the base of the Great Pyramid at Giza, December 1914",http://purl.slwa.wa.gov.au/slwa_b3929293_1;http://purl.slwa.wa.gov.au/slwa_b3929293_1.png
b39292952,3045B/46,,Departure of troops from Fremantle.,1914,1 photograph :,"Title created by cataloguer from donor information.;Possibly the first Australian contingent to leave from Fremantle on SS Ascanius and SS Medic. Photographs by E.L. Mitchell of troops going on board on the morning of 31st October are published in the Western Mail Xmas issue 11 December 1914, p.23. There is a report of the entire process of the departure on 2 November to join a convoy of ships published in the Western Mail 20 November 1914, p.17 (after the embargo on publication was lifted)",,,"Soldiers;World War, 1914-1918;Troopships;Online image.",,"3045B/46: Departure of troops from Fremantle, 1914",http://purl.slwa.wa.gov.au/slwa_b3929295_1;http://purl.slwa.wa.gov.au/slwa_b3929295_1.png
b3929299x,3045B/47,,"A rally in Hay Street, Perth during the debate on conscription, 25 October 1916.",1916,1 photograph :,Title created by cataloguer from donor information.;There were two conscription referenda in Australia the first held 28 October 1916 and the second on 20 December 1917. Both were defeated.,,,"World War, 1914-1918;Conscription;Draft;Crowds;Online image.",,"3045B/47: A rally in Hay Street, Perth during the debate on conscription, 25 October 1916",http://purl.slwa.wa.gov.au/slwa_b3929299_1;http://purl.slwa.wa.gov.au/slwa_b3929299_1.png
b39293038,3051B/110,,Recruits marching to Blackboy Hill.,1917,1 photograph :,Title created by cataloguer from donor information.,,,"World War, 1914-1918;Recruiting and enlistment;Soldiers;Military training camps;Online image.",,"3051B/110: Recruits marching to Blackboy Hill, 1917",http://purl.slwa.wa.gov.au/slwa_b3929303_1;http://purl.slwa.wa.gov.au/slwa_b3929303_1.png
b39293063,3051B/203,,"A member of the Imperial Camel Corps in Egypt, Easter Monday April 24, 1916.",1916,1 photograph :,Title created by cataloguer from donor information.,,,"World War, 1914-1918;Online image.",,"3051B/203: A member of the Imperial Camel Corps in Egypt, Easter Monday April 24, 1916",http://purl.slwa.wa.gov.au/slwa_b3929306_1;http://purl.slwa.wa.gov.au/slwa_b3929306_1.png
b39293075,6773B;3051B/219,,"Returned soldiers from the troopship Somali march down High Street, Fremantle, 8 July 1919.",1919,1 photograph :;1 microfilm negative :,"Title created by cataloguer from donor information.;This photograph has been received in two donations, a poor quality print at 3051B/219 and a copy negative made from a print lent to be copied at 6773B.;This event is described in a report published in the Sunday Times 13 July 1919, p.13 (p.1s in Trove)",,,Brass bands;Military parades and ceremonies;Soldiers;Online image.,"High Street (Fremantle, W.A.)","6773B: Returned soldiers from the troopship Somali march down High Street, Fremantle, 8 July 1919",http://purl.slwa.wa.gov.au/slwa_b3929307_3;http://purl.slwa.wa.gov.au/slwa_b3929307_3.png
b39359591,3248B/35-36,,"Red Cross V.A.D.s and patients at the Soldiers' Convalescent Home, Lesmurdie.",1919,2 photographs :,"Title and captions from donor.;The purchase and development of this property is described with photographs in the Western Mail 11 April 1919, p.24 & p.29.;3248B/35 has written on it: Red Cross V.A.D.'s including Miss Nora Parker and Miss A. Shaw. However, it is not known which nurse they are in the photograph.;The W.A. V.A.D. (Volunteer Aid Detachment) was formed in 1919 at the request of Lady Ellison Mccartney, wife of the Governor. It did useful work 1919-1920 and then seems to have gone into recess. (VAD's in peace and war by R.D. Goodman, p.48)",,"Parker, Nora;Shaw, A.,","Hospitals, Convalescent;World War, 1914-1918;Soldiers;Veterans;War casualties;Online image.",Western Australia,"3248B/35: Soldiers' Convalescent Home, Lesmurdie, 1919. Red Cross V.A.D.s include Miss Nora Parker and Miss A. Shaw;3248B/36: Soldiers' Convalescent Home, Lesmurdie, 1919. Watching a cricket match",http://purl.slwa.wa.gov.au/slwa_b3935959_1;http://purl.slwa.wa.gov.au/slwa_b3935959_2;http://purl.slwa.wa.gov.au/slwa_b3935959_1.png;http://purl.slwa.wa.gov.au/slwa_b3935959_2.png
b39359670,3248B/115,,"Australian Red Cross Society Christmas card, Xmas 1917.",1917,1  greetings card :,,,,"Christmas cards;Soldiers;World War, 1914-1918",,"3248B/115: Australian Red Cross Society Christmas card, Xmas 1917",http://purl.slwa.wa.gov.au/slwa_b3935967_1;http://purl.slwa.wa.gov.au/slwa_b3935967_1.png
b39359682,3248B/116,,Western Australian Red Cross Service Corps.,1914,1 photograph :,Title and date written on back of mount. In another hand: 1914 VAD.,,,"World War, 1914-1918;Nurses;Online image.",Western Australia,"3248B/116: Western Australian Red Cross Service Corps, 1914",http://purl.slwa.wa.gov.au/slwa_b3935968_1;http://purl.slwa.wa.gov.au/slwa_b3935968_1.png
b39359694,3881B/150,,Last parade of the 3rd Brigade on Lemnos Island before landing at Gallipoli.,1915,1 photograph :,Title from back of print.,,,"World War, 1914-1918;Soldiers;Online image.",,"3881B/150: Last parade of the 3rd Brigade on Lemnos Island before landing at Gallipoli, 1915",http://purl.slwa.wa.gov.au/slwa_b3935969_1;http://purl.slwa.wa.gov.au/slwa_b3935969_1.png
