Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
"Raymond, E. T.,1872-1928. ",Mr. Lloyd George :a biography /by E.T. Raymond,,"London :Collins,c1922","368 p.,<8>leaves of plates :ports. ;23 cm.",Includes bibliographical references and index.,,,"Lloyd George, David,--1863-1945",,"Prime ministers--Great Britain--Biography ; --World War, 1914-1918--Great Britain",,,,,,,,
 ,Mr. Punch's history of the Great War,,"London :Cassell,1919","xvi, 303 p. :ill. ;24 cm.",,Includes index.,,,,"World War, 1914-1918--Anecdotes ; --World War, 1914-1918--Humor",,,,,,,,
"Williams, John,1908- ","Mutiny, 1917 /<With bibl.>",,"Lond. :Heinemann,1962"," :Illus., ports. ;21 1/2 cm.",,,,,,"World War, 1914-1918--France",,,,,,,,
"Hill, David,1942-author. ",My brother's war /David Hill.,,"Auckland, N.Z. :Puffin,2012.",248 p. :map ;20 cm.,Novel for children.,,"It's New Zealand, 1914, and the biggest war the world has ever known has just broken out in Europe. William eagerly enlists for the army but his younger brother, Edmund, is a conscientious objector and refuses to fight. While William trains to be a soldier, Edmund is arrested. Both brothers will end up on the bloody battlefields of France, but their journeys there are very different. And what they experience at the front line will challenge the beliefs that led them there.",,,"World War, 1914-1918--New Zealand--Juvenile fiction. ; --World War, 1914-1918--Juvenile fiction. ; --Brothers--Juvenile fiction. ; --Conscientious objectors--Juvenile fiction. ; --Soldiers--Juvenile fiction.",,,,,9780143307174 (pbk.) ; 0143307177 (pbk.),,,
"Hunter, Douglas J. ",My corps cavalry :a history of the 13th Light Horse Regiment (AIF) /Douglas J. Hunter,,"McCrae, Vic :Slouch Hat Publications,c1999","vi, 181 p :ill., maps, ports. ;26 cm.",Jacket title: My corps cavalry:a history of the 13th Australian Light Horse Regiment 1915-1918. ; Includes index.,,,,"Australia.--Army.--Light Horse Regiment, 13th--History","World War, 1914-1918--Regimental histories--Australia ; --World War, 1914-1918--Campaigns--Europe ; --World War, 1914-1918--Campaigns--Egypt ; --World War, 1914-1918--Campaigns--Turkey",,,,,958529620,,,
"Tirpitz, Alfred von,1849-1930. ",My memoirs /by Grand-Admiral von Tirpitz.,,"London :Hurst & Blackett,[1919].",2 v. ;23 cm.,Includes index.,,,"Tirpitz, Alfred von,--1849-1930.",Germany.--Kriegsmarine--Biography.,"Admirals--Germany--Biography. ; --World War, 1914-1918--Naval operations, German. ; --World War, 1914-1918--Germany.",Germany--History--20th century--Biography.,,,,,,,
"Wilson, Mark,1949- ",My mother's eyes :the story of a boy soldier /Mark Wilson.,,"Sydney :Lothian Children's Books,2009.",1 v. (unpaged) :chiefly col. ill. ;29 x 27 cm.,,,,,,"Child soldiers--Juvenile fiction. ; --World War, 1914-1918--Australia--Juvenile fiction.",,,,,9780734410894 (hbk.){dollar}28.99,,,
"Campbell, Gordon,1886-1953 ",My mystery ships /by Gordon Campbell ; with a foreword by Sir Lewis Bayly ; illustrated by photographs and with sketches by J.E. Broome,,"London :Hodder and Stoughton,1928","xx, 300 p., <17> leaves of plates :ill. ;23 cm.",,,,,,"Armed merchant ships ; --World War, 1914-1918--Naval operations, British ; --World War, 1914-1918--Naval operations--Submarine ; --World War, 1914-1918--Personal narratives, British",,,,,,,,
"Benes, Edvard,1884-1948 ",My war memoirs... /Tr. from the Czech by Paul Selver,,"Lond. :A. & U.,1928", :Port. ;24 1/2 cm.,,,,,,"World War, 1914-1918--Czechoslovakia",,,,,,,,
"Pasha, Arabi ",Nach dem Sturm =After the storm : a prediction of the downfall of the British Empire /by Arabi Pasha,,"Sydney :Pratten Bros,<1915>","<24> p., <2> leaves of plates :col. maps ;21 cm.",,,,,,"World War, 1914-1918--Propaganda ; --World War, 1914-1918--Prophecies",Great Britain--Colonies,,,,,,,
"Wilson, L. C.(Lachlan Chisholm),1871-1947 ","Narrative by Brigadier-General L.C. Wilson ... of operations of Third Light Horse Brigade, A.I.F. from 27th October 1917 to 4th March 1919",,"<Cairo :Oriental Advertising Company,1919>",64 p. ;23 cm.,"Cover title: Narrative of operations of Third Light Horse Brigade (including the Egyptian Rebellion 1919) from 27th October, 1917 to 11th July, 1919.",,,,"Australia.--Army.--Light Horse Brigade, 3rd",,"World War, 1914-1918--Regimental histories--Australia",,,,,,,
 ,National songs of the allies and others[music],,"London :Joseph Williams,<19-->",,,,,,,"National songs ; --World War, 1914-1918--Songs and music ; --World War, 1939-1945--Songs and music.",,,,,,,,
"Casey, Louis S. ",Naval aircraft /[written by Louis S. Casey ; illustrated by John Batchelor],,"Sydney,Books for Pleasure in association with Phoebus,1977",127 p. :ill. (chiefly col.) ;31 cm.,"""Part published in Naval aircraft, 1939-1945.""--T.p. verso.",,,,,"Airplanes, Military--History. ; --Naval aviation--History. ; --Aircraft carriers--History. ; --World War, 1914-1918--Aerial operations. ; --World War, 1939-1945--Aerial operations.",,,,,727100726,,,
"Williams, David L.(David Lloyd),1946- ",Naval camouflage 1914-1945 :a complete visual reference /David Williams.,,"London :Chatham,2001.","256 p., [8] p. of plates :ill. (some col.) ;30 x 26 cm.",,,,,,"Warships--Camouflage--History--20th century. ; --World War, 1914-1918--Naval operations. ; --World War, 1914-1918--Camouflage. ; --World War, 1939-1945--Naval operations. ; --World War, 1939-1945--Camouflage.",,,,,1861761546,,,
"Buchan, John,1875-1940 ",Nelson's history of the war /by John Buchan,,"London :Thomas Nelson,<1914-192-?>",24 v. :maps ;19 cm.,Spine title: History of the war.,,,,,"World War, 1914-1918 ; --World War, 1914-1918--Great Britain",,,,,,,,
 ,Nelson's map-book of the world-wide war[cartographic material].,3rd ed.,"London :Thomas Nelson & Sons,[1917?]",1 atlas (58 p.) :35 maps (some col.) ;25 cm.,"""With a diary of the war and sketch maps illustrating military operations""",,,,,"World War, 1914-1918--Maps. ; --World War, 1914-1918--Chronology.",,,,,,,,
"Edwards, John ","Never a backward step :a history of the First 33rd Battalion, AIF /John Edwards ; edited by Patricia Edwards",,"South Grafton, N.S.W. :Bettong Books,1996","334 p. :ill., facsim., maps, ports. ;30 cm.","Includes personal profiles of the members of 33rd Battalion, AIF. ; Title on added t.p.: Never a backward step: (a history of the First 33rd Battalion, A.I.F.) ; Addenda and errata in back pocket.",,,,"Australia.--Army.--Battalion, 33rd--History ; --Australia.--Army.--Battalion, 33rd--Directories","World War, 1914-1918--Regimental histories--Australia ; --World War, 1914-1918--Campaigns--France ; --World War, 1914-1918--Campaigns--Belgium",,,,,646258303,,,
"McGibbon, I. C.(Ian Callum),1947- ",New Zealand battlefields and memorials of the Western Front /Ian McGibbon,,"Oxford :Oxford University Press in association with the History Group, Ministry for Culture and Heritage,2001","viii, 96 p., [32] p. of col. plates :ill., maps, ports.,22 cm.",,,,,"New Zealand.--Army.--New Zealand Expeditionary Force, 1st--History.","World War, 1914-1918--Campaigns--Western Front ; --World War, 1914-1918--Battlefields--France--Guidebooks. ; --Battlefields--France--Guidebooks. ; --War memorials--Belgium--Guidebooks. ; --War memorials--France--Guidebooks.","New Zealand--History, Military.",,,,195584449,,,
New Zealand.Army ,"New Zealand Expeditionary Force & Reserve List, 1914-1918 War[microform]",,"Auckland, N.Z. :Published on fiche and filmed by BAB Microfilming,<1987>",51 microfiches :ill.,"Arranged alphabetically. ; Microreproduction: Govt. Printer, 1914-1919. ; Header title: New Zealand Expeditionary Force, 1914-1918 War.","Includes indexes. ; New Zealand Expeditionary Force, 1914-1918 War -- New Zealanders enlisting in the Australian Expeditionary Force -- Roll of Honour, 1914-1918 War -- Medal Roll List from the New Zealander Year Book of 1919 -- New Zealand Expeditionary Force Reserve.",,,"New Zealand.--Army.--New Zealand Expeditionary Force, 1st--Directories ; --New Zealand.--Army.--New Zealand Expeditionary Force, 1st--Registers of dead","World War, 1914-1918--Registers ; --World War, 1914-1918--Registers of dead--New Zealand ; --Soldiers--New Zealand--Registers",,,,,909797060,,,
"Farrar, Martin J. ","News from the front :war correspondents on the western front, 1914-1918 /Martin J. Farrar",,"Stroud, London :Sutton,1998","xvii, 238 p. :ill., ports ;26 cm.",,,,,,"World War, 1914-1918--Journalists ; --World War, 1914-1918--Personal narratives, British ; --World War, 1914-1918--Campaigns--Western Front",,,,,750914947,,,
"Williams, Ian,comp ",Newspapers of the First World War /editor Ian Williams,,"Newton Abbot :David & Charles,1970","<160> p. :illus., maps, ports ;54 cm.","Facsimile reprints of newspapers, 1914-1919.",,,,,"World War, 1914-1918--Sources",,,,,715349694,,,
"Sanger, Ray. ",Nieuport aircraft of World War One /Ray Sanger.,,"Marlborough, UK :Crowood Press,2002.","192 p. :ill., ports. ;29 cm.",,,,,,"Nieuport aircraft. ; --World War, 1914-1918--Aerial operations.",,,,,186126447X,Crowood aviation series,,
"Kingsford, A. R.(Alfred Reginald),1891-1987 ","Night raiders of the air, being the experiences of a night flying pilot, who raided Hunland on many dark nights during the war",,"Lond. :Hamilton,<1931.>", :Illus. ;21 1/2 cm.,,,,,,"World War, 1914-1918--Aerial operations, British",,,,,,,,
"Barker, Marianne,1944- ","Nightingales in the mud :the Digger sisters of the Great War, 1914-1918 /Marianne Barker",,"Sydney :Allen & Unwin,1989","xvi, 205 p. :ill ;24 cm.",Includes index.,,,,,"World War, 1914-1918--Medical care ; --World War, 1914-1918--Participation, Female. ; --Nurses--Australia--History--20th century ; --Military nursing--Australia--History ; --Women and war--Australia--History",Australia--Armed Forces--Nurses--History.,,,,43100244,,,
"Toland, John,1912- ",No man's land :the story of 1918 /John Toland,,"London :Methuen,1982, c1980","xx, 651p., <8>p. of plates :ill., maps, ports. ;20cm.",,Bibliography: p. 598-608. ; Index: p. 631-651.,,,,"World War, 1914-1918--Campaigns",,,,,413500004,,,
"Hatwell, Jeff,1949- ",No ordinary determination :Percy Black and Harry Murray of the First AIF /Jeff Hatwell.,,"Fremantle, W.A. :Fremantle Arts Centre Press,2005.","303 p. :ill., maps, ports. ;24 cm.",,,,"Black, Percy,--1877-1917 ; --Murray, Harry,--1880-1966.","Australia.--Army.--Australian Imperial Force (1914-1921) ; --Australia.--Army--History--World War, 1914-1918.","Soldiers--Australia--Biography. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Campaigns--France. ; --World War, 1914-1918--Regimental histories--Australia.","Australia--History, Military--1901-1922.",,,,9781920731410 (pbk.) ; 1920731415,,,
"Blair, Dale James. ",No quarter :unlawful killing and surrender in the Australian war experience 1915-18 /Dale Blair.,,"Charnwood, A.C.T. :Ginninderra Press,c2005.",75 p. ;21 cm.,Includes index.,,,,,"World War, 1914-1918--Australia. ; --Prisoners of war.",,,,,1740272919 (pbk.),,,
 ,"Nominal roll of AIF who left Australia for service abroad, 1914-1918 war[microform]",,"Canberra :Australian Government Printing Office, Micrographics Bureau,<1989?>",184 fiches,,,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers,"World War, 1914-1918--Australia--Registers",,,,,,,,
"Neate, Margaret ","Not bad coves :Alfred Leahy with the Tenth Field Company, Australian Engineers, 1st A.I.F /Margaret Neate",,"Norwood, S. Aust :Peacock Publications,1999","xi, 145 p. :ill., maps, ports ;22 cm.",Includes index.,,,"Leahy, Alfred,--1879-1960","Australia.--Army.--Australian Engineers.--Field Company, 10th--History","World War, 1914-1918--Regimental histories--Australia ; --World War, 1914-1918--Engineering and construction",,,,,1876087196,,,
"Bailey, John",Not just on Christmas Day :an overview of association football during the First World War /John Bailey,,"Upminster :3-2 Books,c1999","vi, 74 p. :ill. ;21 cm.",Includes index. ; 'A sporting retrospective' -- cover.,,,,,"Soccer--Great Britain--History ; --Soccer matches--Great Britain--History ; --World War, 1914-1918",,,,,953584909,,,
"Brook-Shepherd, Gordon,1918- ",November 1918 /Gordon Brook-Shepherd ; <maps by Brian Elkins>,1st American ed,"Boston :Little, Brown,c1981","461 p., <12> p. of plates :ill., maps ;25 cm",Maps on lining papers. ; Includes index.,,,,,"World War, 1914-1918--Campaigns",,,,,316109606,,,
"Boulton, David ",Objection overruled /<With bibl. notes.>,,"London :MacGibbon & Kee,1967"," :Illus., facsims., ports. ;19 cm.",,,,,,"Conscientious objectors--Great Britain ; --World War, 1914-1918--Conscientious objectors",,,,,,,,
"Macmillan, Norman,1896- ","Offensive patrol :the story of the RNAS, RFC and RAF in Italy, 1917-18 /Norman Macmillan",,"London :Jarrold,1973","264, <8> p. :illus., maps, ports ;23 cm.",Maps on lining papers. ; Includes index.,,,,,"World War, 1914-1918--Aerial operations, British ; --World War, 1914-1918--Campaigns--Italy",,,,,91161800,,,
 ,Officers died in the Great War 1914-1919,New enl.ed. including Indian Army,"Polstead :Hayward,1988",286 p. ;28cm.,"Great Britain.. Army. Casualties,. 1914-1918 (BNB/PRECIS) ; Previous ed.: London : H.M.S.O., 1919.",,,,Great Britain.--Army--Officers ; --Great Britain.--Army--Registers of dead ; --India.--Army--Registers of dead,"World War, 1914-1918--Registers of dead--Great Britain",,,,,903754401,,,
 ,"Oh it's a lovely war[music] :songs, ballads and parodies of the Great War",,"London :EMI Music Publishing,c1978",1 score (119 p.) :ill. ;31 cm.,,,,,,"Popular music ; --World War, 1914-1918--Songs and music",,,,,,,,
"Turner, Ethel,1870-1958. ","Oh, boys in brown /by Ethel Turner",,"<Sydney :s.n,1914>",<4> p. ;15 x 23 cm.,Reprinted from Sydney Morning Herald .,,,,,"World War, 1914-1918--Poetry",,,,,,,,
"Richards, Frank,b. 1884 ",Old soldiers never die /by Private F. Richards ; With an introd. by R. Groves,,"Lond. :Faber,1964", ;18 1/2 cm.,<First pub. 1933.>,,,,,"World War, 1914-1918--Personal narratives, British",,,,,,,,
Omrah Association ,Omrah Association :founded to preserve the spirit of comradeship ... 1914-1939,,"Brisbane :the Association,1939","16 p. :ill., ports. ;22 cm.",Cover title.,,,,"Australia.--Army.--Battalion, 9th ; --Omrah (Ship)","World War, 1914-1918",,,,,,,,
"Bridges, T. C.(Thomas Charles),b.1868 ",On land and sea at the Dardenelles[electronic resource] /T.C. Bridges.,,"[Salt Lake City, Utah?]Project Gutenberg,2004.",,,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Fiction. ; --War stories, Australian.",,,,,,,,http://www.gutenberg.org/etext/11513
"Hopkirk, Peter ",On secret service east of Constantinople :the plot to bring down the British Empire /Peter Hopkirk,,"London :John Murray,1994","xii, 431 p., <16> p. of plates :ill., maps, ports ;24 cm.",,,,,,"Secret service--Asia--History ; --World War, 1914-1918--Asia ; --World War, 1914-1918--India",Asia--Politics and government ; --India--Politics and government--1857-1919,,,,719550173,,,
"Pugsley, Christopher ",On the fringe of hell :New Zealanders and military discipline in the First World War /Christopher Pugsley,,"Auckland :Hodder & Stoughton,1991","360 p. :ill., maps ;23 cm.",,,,,"New Zealand.--Army.--New Zealand Expeditionary Force, 1st--History","Military discipline--New Zealand ; --World War, 1914-1918--Campaigns",,,,,340533218,,,
"Clifton-Shelton, A. ",On the road from Mons with an army service corps train /by its commander,,"London :Hurst and Blackett,1916","viii, 163 p. :ill., 2 folded maps ;20 cm.",Includes index. ; With ma and diagrams.,,,,Great Britain.--Army.--Royal Army Service Corps,"World War, 1914-1918--Campaigns--France ; --World War, 1914-1918--Personal narratives, British",,,,,,,,
"Little, Marsh,1880-1958 ",On the shores of the Aegean Sea[music] /words and music by George Marsh Little.,,Sydney ;W.J. Deane :c1916.,1 score ([3] p.) :ill. ;36 cm.,"Caption title. ; ""They have fallen far from home""  --  T.p. ; ""Composer of Boys of the Dardanelles""  --  T.p.",,,,,"Songs (Medium voice) with piano ; --Patriotic music--Australia ; --World War, 1914-1918--Campaigns--Songs and music",,,,,,,Also available online (as at 28/11/08) at http://nla.gov.au/nla.mus-an6837238,http://nla.gov.au/nla.mus-an6837238
"Lenin, Vladimir Il'ich,1870-1924 ",On the United States of America :selected writings /<Comp. by C. Leiteizen>,,"New York :International Publishers,<c1970>",674 p. ;21 cm.,Translations of writings mainly from the Progess Publishers edition of Lenin's collected works.,,,,,"Socialism ; --World War, 1914-1918",United States--Social conditions,,,,,,,
"Carl, Ernst ",One against England :the death of Lord Kitchener and the plot against the British fleet,,"Lond. :Jarrolds,1935"," :Illus., ports., facsims. ;21 cm.",,,,,,"World War, 1914-1918--Secret service",,,,,,,,
"Dos Passos, John,1896-1970 ","One man's initiation: 1917 :a novel /With a new introd. by the author and drawings from his Paris sketchbook, 1918","Authorized ed., complete and unexpurgated","Ithaca, N.Y :Cornell University Press,<1969>",179 p. :illus ;20 cm.,Reprint of the 1920 ed. with new introd.,,,,,"World War, 1914-1918--Fiction",,,,,,,,
"Johnstone, Tom ","Orange, green and khaki :the story of the Irish regiments in the Great War, 1914-18 /Tom Johnstone",,"Dublin :Gill and Macmillan,c1992","xxxviii, 498 p., <8> p. of plates :ill., maps, ports. ;24 cm.","Spine title: Orange, green & Khaki.",Includes index.,,,Great Britain.--Army--Irish regiments--History,"World War, 1914-1918--Ireland",Ireland--History--1910-1921,,,,0717120023 ; 0717119947 (pbk.),,,
"Oliver, Frederick Scott,1864-1934 ",Ordeal by battle /by Frederick Scott Oliver,,"London :Macmillan,1915","li, 437 p. ;23 cm.",,,,,,"World War, 1914-1918 ; --Draft",,,,,,,,
United States.Department of the Army.Office of Military History. ,"Order of battle of the United States land forces in World War, 1917-19 /<With bibl.>",,"Wash. :Govt. Pr.,1949","Vol. 3 in 2 pts. :maps, tables ;23 cm.",,Vol.3 - Zone of the interior. 1949. 2v.,,,,"World War, 1914-1918--United States",,,,,,,,
 ,"Order of service :in commemoration of the fallen heroes ... Brisbane, November 17, 1918.",,"Brisbane [Qld.] :Anthony James Cumming, Government Printer,1918.",8 p. ;22 cm.,Title from p. [1],,,,,"World War, 1914-1918--Queensland--Brisbane ; --Memorial service.",,,,,,,A digital copy is available at http://hdl.handle.net/10462/pdf/1012SLQ DigPub,http://hdl.handle.net/10462/pdf/1012
"Erickson, Edward J.,1950- ",Ordered to die :a history of the Ottoman army in the First World War /Edward J. Erickson ; foreword by General Huseyin Kivrikoglu,,"Westport, Conn. :Greenwood Press,2001","xxii, 265 p., <6> leaves of plates :ill., maps, ports. ;25 cm.",,,,,Turkey.--Ordu--History--20th century,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula",,,,,0313315167 (alk. paper),"Contributions in military studies,0883-6884 ;no. 201",,
"Dickins, Barry,1949- ",Ordinary heroes /Barry Dickins.,,"South Yarra, Vic. :Hardie Grant,1999.","xii, 299 p. :ill., ports. ;20 cm.",,,,,,"Veterans--Australia--Interviews. ; --World War, 1914-1918--Personal narratives, Australian. ; --World War, 1939-1945--Personal narratives, Australian. ; --Vietnam War, 1961-1975--Personal narratives, Australian.",,,,,1864980141 (pbk.) ; 1864981032 (pbk.),,,
"Lowndes, Chris. ","Ordinary men, extraordinary service :the World War 1 experience of the 9th battalion (Queensland) AIF & reflections on the Gallipoli campaign /Chris Lowndes.",,"Moorooka, Qld. :Boolarong Press,2011.","xxii, 314 p. :ill. (some col.), ports., maps ;23 cm.",,,,,"Australia.--Army.--Battalion, 9th","World War, 1914-1918--Australia. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula.",,,,,9781921555862 (pbk.),,,
"Hargrave, Basil. ","Origins and meanings of popular phrases & names, including those which came into use during the Great War.",Rev. ed.,"London :T. W. Laurie ltd.,1925, 1932 printing.","vi, 376 p. ;22 cm.",,,,,,"Terms and phrases. ; --Allusions. ; --Names. ; --English language--Etymology. ; --World War, 1914-1918--Language.",,,,,,,,
"Laird, J. T.(John Tudor),comp ",Other banners :an anthology of Australian literature of the First World War /Selected and edited by J. T. Laird,,"Canberra :Australian War Memorial and Australian Government Publishing Service,1971","x, 187 p. ;25 cm.",,,,,,"World War, 1914-1918--Literary collections ; --Australian literature",,,,,642000026,,,
"Egan-Mulry, M.,1863-1934 ",Our boys at the front[music] :military song /by M. Egan Mulry.,,"[Brisbane] :H. J. Diddams & Co. Printers,[ between 1914 and 1918].",1 score (3) p. ;37 cm.,"""Dedicated to Lady Goold Adams"". --cover. ; Text of song printed at end of  last page.",,,,,"Songs with piano. ; --War songs--Australia. ; --World War, 1914-1918--Australia--Songs and music. ; --Patriotic music--Australia.",,,,,,,A digital copy is available at http://hdl.handle.net/10462/comp/1243SLQ DigPub,http://hdl.handle.net/10462/comp/1243 ; http://www.slq.qld.gov.au/home/copyright
"Brain, K.T. ",Our boys of the Dardanelles[music] /K.T. Brain,,"Melbourne, Vic. :McCarron, Bird & Co.,<19--?>",1 score <3> p. ;36 cm.,'Patriotic Song'. --cover.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Songs and music ; --World War, 1914-1918--Australia--Songs and music ; --Popular music--Australia--1911-1920 ; --Patriotic music--Australia",,,,,,,,
"Austin, Ronald J.(Ronald James),1936- ","Our dear old battalion :the story of the 7th Battalion, AIF, 1914-1919 /Ronald J. Austin.",,"Rosebud, Vic. :Slouch Hat Publications,2004.","320 p., [1] leaf of plates :ill., maps, ports. ;26 cm.",Includes index.,,"A stirring story of one of Australia's most famous infantry units of the Great War, tracing its formation and early life at Broadmeadows training in Egypt, then to Gallipoli follwed by the Western Front in 1916. Well-illustrated with photos, maps and appendices.",,"Australia.--Army.--Battalion, 7th.","World War, 1914-1918--Regimental histories--Australia.",,,,,0957975236 :{dollar}55.00,,,
 ,Our heroes :containing the photographs with biographical notes of officers of Irish regiments and of Irish officers of British regiments who have fallen in action or who have been mentioned for distinguished conduct from August 1914 to July 1916...,,"London :London Stamp Exchange,<1988?>","243 p. :maps, ports ;31cm.","Great Britain. Army. Officers,. history - Biographies - Collections (BNB/PRECIS) ; Facsim. reprint, Originally published 1916.",,,,Great Britain.--Army,"World War, 1914-1918--Registers of dead--Great Britain",Northern Ireland--Biography,,,,948130113,,,
"King-Hall, Stephen,1893-1966 ","Our own times, 1913-1939 :a political and economic survey /by Stephen King-Hall",,"London :Faber and Faber,1941","xi, 1204 p. :ill. ;22 cm.",,Includes index.,,,,"History, Modern--20th century ; --World politics ; --Reconstruction (1914-1939) ; --World War, 1914-1918--Influence ; --International relations ; --Economic history--1918-",,,,,,,,
"Triolo, Rosalie. ",'Our schools and the war' /Rosalie Triolo.,,"North Melbourne, Vic. :Australian Scholarly Pub.,2012.","xvii, 364 p. :ill., facsims., ports. ;25 cm.",,,"""The Great War profoundly touched the lives of Australian teachers, school children and local communities, and with lasting consequences. Every teacher had the task of explaining the war to their students. Many teachers, a disproportionately large number, fought and died, and were joined by their older students. For years after, the names of those who fell were respectfully displayed on school honor boards, in honor books and remembered by other commemorative means, including through the introduction of Anzac Day. How teachers and school communities were affected by patriotic appeals and activities, and how they responded to the long years of grim news from Gallipoli, the Western Front and other sites of training, fighting and convalescence, is revealed in an account that historians, general readers and today's students will find illuminating and deeply moving."" --Back cover.",,,"War and education--Victoria--History. ; --World War, 1914-1918--Education and the war.",,,,,9.78E+12,,,
"Cuttriss, G. P. ",'Over the top' with the Third Australian Division /by G. P. Cuttriss ; with introduction by Sir John Monach ; illustrated by Neil McBeath,,"London :Charles H. Kelly,<1918>","139 p., <8> leaves of plates :ill., ports. ;19 cm",,,,,"Australia.--Army.--Division, 3rd","World War, 1914-1918--Australia",,,,,,,,
"Hibberd, Dominic ",Owen the poet /Dominic Hibberd,,"Athens :University of Georgia Press,1986","xii, 244 p., <8> p. of plates :ill ;23 cm.",Includes indexes.,,,"Owen, Wilfred,--1893-1918",,"Poets, English--20th century--Biography ; --World War, 1914-1918--Literature and the war ; --Soldiers--Great Britain--Biography",,,,,820308587,,,
"McKernan, Michael,1945- ","Padre, Australian chaplains in Gallipoli and France /Michael McKernan",,"Sydney :George Allen & Unwin,1986","xv, 190 p. :ill. ;24 cm.",Illustrations on lining papers.,Includes index.,,,Australia.--Army--Chaplains,"World War, 1914-1918--Chaplains ; --Military chaplains--Australia",,,,,868619779,,,
"Goodsall, Robert H.(Robert Harold),b. 1891 ","Palestine memories, 1917-1918-1925 /by Robert H. Goodsall",Subscription ed.,"Canterbury <England> :Cross and Jackman,1925","223 p., <60> leaves of plates (some col. and 1 folded) :ill., 1 folded map, ports. ;25 cm",Includes index. ; Limited ed. of 300 copies.,,,,,"World War, 1914-1918--Campaigns--Palestine ; --Reconstruction (1914-1939)--Palestine",,,,,,,,
"Watt, Peter,1949- ",Papua /Peter Watt.,,"Sydney :Macmillan,2002.","437 p. ;maps ,23 cm.",,,,,,"Frontier and pioneer life--Papua New Guinea--Fiction. ; --World War, 1914-1918--Campaigns--France--Fiction. ; --Male friendship--Fiction.",,,,,732911435,,,
"Watt, Peter,1949- ",Papua /Peter Watt.,,"Sydney :Pan,2003.",485 p. :map ;18 cm.,First published in 2002.,,,,,"World War, 1914-1918--Campaigns--France--Fiction. ; --Frontier and pioneer life--Papua New Guinea--Fiction. ; --Male friendship--Fiction. ; --Australian fiction",,,,,0330364227 (pbk.) ; 9780330364225 (pbk.),,,
Queensland.Parliament. ,"Parliamentary debates :Third Session of the Twentieth Parliament, 1917.",,"Brisbane :Government Printer,1917.",3105-3179 p. ;25 cm.,Holograph note on cover: 'The Hansard that was held up by the military authorities during the conscription campaign.' ; At head of title: Proof.,,,,,"World War, 1914-1918--Censorship--Queensland.",Queensland--Politics and government--1914-1918.,,,,,,A digital copy is available at http://hdl.handle.net/10462/pdf/1232,http://hdl.handle.net/10462/pdf/1232
"Lincoln, W. Bruce ","Passage through Armageddon :the Russians in war and revolution, 1914-1918 /W. Bruce Lincoln",,"New York :Simon and Schuster,c1986","637 p., <16> p. of plates :ill., maps ;24 cm.",Includes index.,,,,,"World War, 1914-1918--Soviet Union","Russia--History--Nicholas II, 1894-1917 ; --Soviet Union--History--Revolution, 1917-1921--Causes ; --Soviet Union--History--Revolution, 1917-1921",,,,671557092,,,
Catholic Church.Archdiocese of Brisbane.Archbishop (Dunne) ,Pastoral letter of the Archbishop of Brisbane to the clergy and laity of the Archdiocese on the European War.,,"Brisbane,1916.",7 p. ;21 cm.,,,,,Catholic Church--Australia--Pastoral letters and charges,"World War, 1914-1918.",,,,,,,A digital copy is available at http://hdl.handle.net/10462/pdf/981SLQ DigPub,http://hdl.handle.net/10462/pdf/981
"Jahn, Hubertus ",Patriotic culture in Russia during World War I /Hubertus F. Jahn,,"Ithaca :Cornell University Press,1995","xii, 229 p. :ill ;25 cm.",,,,,,"World War, 1914-1918--Russia ; --World War, 1914-1918--Propaganda ; --World War, 1914-1918--Theater and the war ; --World War, 1914-1918--Art and the war ; --World War, 1914-1918--Motion pictures and the war ; --Popular culture--Russia",,,,,080143131X (alk. paper),,,
"Summy, Hilary.",Peace angel of World War I :dissent of Margaret Thorp /by Hilary N Summy.,,"[Brisbane] :Australian Centre for Peace and Conflict Studies,2006.","140 p. :ill., ports. ;22 cm.",Cover title. ; Includes index.,,,"Thorp, Margaret,--1892-1978.",,"Women pacifists--Australia--Biography. ; --Women pacifists--Queensland--Biography. ; --Quakers--Australia--Biography. ; --Quakers--Queensland--Biography. ; --World War, 1914-1918--Protest movements--Australia. ; --World War, 1914-1918--Protest movements--Queensland.",,,,,0977506207 (pbk.),,,
"Shaw, George Bernard,1856-1950. ",Peace Conference hints,,"Lond. :Constable,1919", ;18 1/2 cm.,,,,,,"World War, 1914-1918--Peace",,,,,,,,
