RECORD #(BIBLIO),RECORD URL,XML,NAME,TITLE,DATES/PUBLICATION DETAILS,DESCRIPTION/QUANTITY,SUMMARY,SUBJECT,SERIES/COLLECTION,IMAGE
b20943842,http://www.catalog.slsa.sa.gov.au/record=b2094384,http://www.catalog.slsa.sa.gov.au/xrecord=b2094384,,Keswick Hospital : Ella Williams,1921,Photograph  26 x 16 cm;RESERVE 1 album,"Ella Williams, Honorary Treasurer and joint Honorary Organiser 'Keswick Hospital Helpers', 1915-1921.","Williams, Ella Eliza, 1874-1955;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_25.htm
b20943878,http://www.catalog.slsa.sa.gov.au/record=b2094387,http://www.catalog.slsa.sa.gov.au/xrecord=b2094387,,Keswick Hospital : Violet May Williams,1921,Photograph  26 x 16 cm;RESERVE 1 album,"Violet May Williams, joint Honorary Organiser 'Keswick Hospital Helpers'. Poem on page ""If we can let into some soul a little light, If we some pathway dark and drear can render bright, If we to one in gloom can show the sunny side, Though no reward we win, we shall be satisfied'.","Williams, Violet May, 1878-1945;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_26.htm
b20943908,http://www.catalog.slsa.sa.gov.au/record=b2094390,http://www.catalog.slsa.sa.gov.au/xrecord=b2094390,,Keswick Hospital : Mrs Bert Matters,[approximately 1918],Photograph  11 x 7 cm;RESERVE 1 album,'Our amiable and energetic President'. Mrs Bert Matters - President Keswick Hospital Helpers.,"Matters, Bert, Mrs;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_27.htm
b20943921,http://www.catalog.slsa.sa.gov.au/record=b2094392,http://www.catalog.slsa.sa.gov.au/xrecord=b2094392,,Keswick Hospital : Ella and Violet Williams,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,"'The Hon. Organisers' (Two live wires). Ella and Violet Williams, joint Hon. Organisers. Named by the diggers 'The Banana and Chocolate ladies'.","Williams, Ella Eliza, 1874-1955;Williams, Violet May, 1878-1945;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_28.htm
b20943933,http://www.catalog.slsa.sa.gov.au/record=b2094393,http://www.catalog.slsa.sa.gov.au/xrecord=b2094393,,Keswick Hospital : T.C. Borrow,[approximately 1918],Photograph  8.5 x 12 cm;RESERVE 1 album,"'Our capable and willing HOn. Sec.'. Mr T.C. Borrow, Hon. Sec. 'Angaz Helpers' now 'Keswick Hospital Helpers'.","Borrow, Travers, 1881-1957;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_29.htm
b20943957,http://www.catalog.slsa.sa.gov.au/record=b2094395,http://www.catalog.slsa.sa.gov.au/xrecord=b2094395,,Keswick Hospital : Lieut Col. H.H.E. Russell,[approximately 1918],Photograph  3 x 4.5 cm;RESERVE 1 album,'The Helpers' friend and adviser. Lieut Col. H.H.E. Russell. Our P.M.O.,"Russell, Herbert Henry Ernest, 1875-1951;World War, 1914-1918 -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_30.htm
b20943970,http://www.catalog.slsa.sa.gov.au/record=b2094397,http://www.catalog.slsa.sa.gov.au/xrecord=b2094397,,Keswick Hospital : Ella and Violet Williams with Ethel Matters,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,"'The happy trio - As welcome as the flowers in May'. Ethel Matters, President, Violet Williams, Hon. Organiser and Ella Williams, Hon. Organiser & Hon. Treasurer.","Williams, Ella Eliza, 1874-1955;Williams, Violet May, 1878-1945;Matters, Ethel Rigg, 1875-1968;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_31.htm
b2094410x,http://www.catalog.slsa.sa.gov.au/record=b2094410,http://www.catalog.slsa.sa.gov.au/xrecord=b2094410,,Keswick Hospital : Volunteers carrying a load,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,'Phew its hot! Oh for a motor'. Bending neath our burden. 1915-1916.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_38.htm
b20944147,http://www.catalog.slsa.sa.gov.au/record=b2094414,http://www.catalog.slsa.sa.gov.au/xrecord=b2094414,,Keswick Hospital : Transport - Horse and wagon,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,'Our modes of travelling to Keswick Hospital'. The old Keswick 'Try Again' Fare 2d each way. 110 in the shade - and still undaunted (Saturday afternoons).,"World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_39.htm
b20944172,http://www.catalog.slsa.sa.gov.au/record=b2094417,http://www.catalog.slsa.sa.gov.au/xrecord=b2094417,,Keswick Hospital : Transport - Motor car,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,'Our modes of travelling to Keswick Hospital'. 'The motor at last'. A friend to the helpers - is Mr Bert. Matters.,"World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_41.htm
b20944196,http://www.catalog.slsa.sa.gov.au/record=b2094419,http://www.catalog.slsa.sa.gov.au/xrecord=b2094419,,Keswick Hospital : Transport - Military motor lorry,[approximately 1918],Photograph  11 x 6.5 cm;RESERVE 1 album,'Our modes of travelling to Keswick Hospital'. 'The old ramshackle military motor lorry. named by the helpers - 'The Rolls Royce' and used by them on Highdays and Holidays.,"World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_40.htm
b20944214,http://www.catalog.slsa.sa.gov.au/record=b2094421,http://www.catalog.slsa.sa.gov.au/xrecord=b2094421,,Keswick Hospital : Extract of letter,[approximately 1917],Photograph  23 x 11 cm;RESERVE 1 album,Extract of a letter signed by R.S. Rogers Lieut.Col. appreciating the work of 'The Keswick Hospital Helpers' dated 7.12.1917.,"Rogers, R. S. (Richard Sanders), 1861-1942;World War, 1914-1918 -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_42.htm
b2094424x,http://www.catalog.slsa.sa.gov.au/record=b2094424,http://www.catalog.slsa.sa.gov.au/xrecord=b2094424,,Keswick Hospital : Outside the dining hall,[approximately 1918],Photograph  17 x 12cm;RESERVE 1 album,Outside the Digges dining hall. The Arrival of the Keswick Hospital Helpers in a horse (Dandy the pony) and buggy.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_43.htm
b20944263,http://www.catalog.slsa.sa.gov.au/record=b2094426,http://www.catalog.slsa.sa.gov.au/xrecord=b2094426,,Keswick Hospital : Interior of the dining hall,[approximately 1916],Photograph  10.5 x 8 cm;RESERVE 1 album,Interior of the Diggers dining room. Tables set by the 'Anzac Helpers' for 72 returned menJune 16th 1916.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_44.htm
b20944275,http://www.catalog.slsa.sa.gov.au/record=b2094427,http://www.catalog.slsa.sa.gov.au/xrecord=b2094427,,Keswick Hospital : Interior of the dining hall,[approximately 1916],Photograph  10.5 x 8 cm;RESERVE 1 album,Interior of the Diggers dining room. Waiting to serve dinner. 'Azac Helpers' doing V.A.D. work . Tables set for 60 returned men. August 15th 1916.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_45.htm
b20944299,http://www.catalog.slsa.sa.gov.au/record=b2094429,http://www.catalog.slsa.sa.gov.au/xrecord=b2094429,,Keswick Hospital : Copy of letter,[approximately 1916],Photograph  23 x 9.5 cm;RESERVE 1 album,"Copy of letter from Alma M. Hancock, Matron 7th A.g.H. expressing appreciation of the help given by the 'Anzac Helpers'.","Hancock, Alma Mary, 1876-1959;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_46.htm
b20944329,http://www.catalog.slsa.sa.gov.au/record=b2094432,http://www.catalog.slsa.sa.gov.au/xrecord=b2094432,,Keswick Hospital : Patients from 'Kanowna',[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Arrival at Keswick Hospital. Patients arriving from the Hospital Ship 'Kanowna'.,"Kanowna (Ship);World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Hospital ships -- Australia;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_47.htm
b20944330,http://www.catalog.slsa.sa.gov.au/record=b2094433,http://www.catalog.slsa.sa.gov.au/xrecord=b2094433,,Keswick Hospital : Officers from 'Kanowna',[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Arrival at Keswick Hospital. Group of officers from the Hospital Ship 'Kanowna'.,"Kanowna (Ship);World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Hospital ships -- Australia;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_48.htm
b20944342,http://www.catalog.slsa.sa.gov.au/record=b2094434,http://www.catalog.slsa.sa.gov.au/xrecord=b2094434,,Keswick Hospital : Patients from 'Kanowna',[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Arrival at Keswick Hospital. Second batch of patients from the Hospital Ship 'Kanowna'.,"Kanowna (Ship);World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Hospital ships -- Australia;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_49.htm
b20944354,http://www.catalog.slsa.sa.gov.au/record=b2094435,http://www.catalog.slsa.sa.gov.au/xrecord=b2094435,,Keswick Hospital : Sammy Lunn,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Arrival at Keswick Hospital. Patients and Sammy Lunn (well known fund raiser) arriving at Keswick. The scene appears to be taken at the same time as PRG 280/1/17/309.,"Lunn, Sammy, 1865-1923;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_50.htm
b2094438x,http://www.catalog.slsa.sa.gov.au/record=b2094438,http://www.catalog.slsa.sa.gov.au/xrecord=b2094438,,Keswick Hospital : Lieut Throssell,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,"'One of our Heros'. Lieut. Hugo Vivian Hope Throssell, V.C.","Throssell, Hugo, 1884-1933;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_51.htm
b20944391,http://www.catalog.slsa.sa.gov.au/record=b2094439,http://www.catalog.slsa.sa.gov.au/xrecord=b2094439,,Keswick Hospital : Men returning,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Another batch of men returning.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_52.htm
b20944408,http://www.catalog.slsa.sa.gov.au/record=b2094440,http://www.catalog.slsa.sa.gov.au/xrecord=b2094440,,Keswick Hospital : Men returning,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,'Glad to be home once more. And still they come.',"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_53.htm
b20944421,http://www.catalog.slsa.sa.gov.au/record=b2094442,http://www.catalog.slsa.sa.gov.au/xrecord=b2094442,,Keswick Hospital : Patients arriving,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Arrival of train at the siding - Keswick. Patients arriving (ex Port Sydney) 22 July 1916.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_54.htm
b20944433,http://www.catalog.slsa.sa.gov.au/record=b2094443,http://www.catalog.slsa.sa.gov.au/xrecord=b2094443,,Keswick Hospital : Patients arriving,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Patients wending their way to Keswick Hospital from the train.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_55.htm
b20944445,http://www.catalog.slsa.sa.gov.au/record=b2094444,http://www.catalog.slsa.sa.gov.au/xrecord=b2094444,,Keswick Hospital : Patients arriving,[approximately 1916],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Patients wending their way to Keswick Hospital from the train.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_56.htm
b20944482,http://www.catalog.slsa.sa.gov.au/record=b2094448,http://www.catalog.slsa.sa.gov.au/xrecord=b2094448,,Keswick Hospital : Tea for returned soldiers,[approximately 1917],Photograph  10.5 x 7.5 cm;RESERVE 1 album,Interior of the Diggers dining hall. Jan 17th 1917 they gave tea to 200 returned soldiers.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_57.htm
b20944494,http://www.catalog.slsa.sa.gov.au/record=b2094449,http://www.catalog.slsa.sa.gov.au/xrecord=b2094449,,Keswick Hospital : A few of the soldiers,[approximately 1917],Photograph  10.5 x 7.5 cm;RESERVE 1 album,A few of the soldiers facing the camera after the tea.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_58.htm
b20944500,http://www.catalog.slsa.sa.gov.au/record=b2094450,http://www.catalog.slsa.sa.gov.au/xrecord=b2094450,,Keswick Hospital : A few of the soldiers,[approximately 1917],Photograph  10.5 x 7.5 cm;RESERVE 1 album,A few of the soldiers . So are we - after an enjoyable high tea.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_59.htm
b20944512,http://www.catalog.slsa.sa.gov.au/record=b2094451,http://www.catalog.slsa.sa.gov.au/xrecord=b2094451,,Keswick Hospital : List of goods,[approximately 1917],Photograph  10.5 x 15 cm;RESERVE 1 album,Keswick Hospital Helpers for sick & wounded soldiers. Red Cross Circle. Goods taken to Keswick Hospital total for six months January 1918 to June 1918.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_60.htm
b20944524,http://www.catalog.slsa.sa.gov.au/record=b2094452,http://www.catalog.slsa.sa.gov.au/xrecord=b2094452,,Keswick Hospital : Tea for the wards,[approximately 1917],Photograph  16 x 11.5 cm;RESERVE 1 album,Interior of the Diggers dining hall. The Keswick Hospital Helpers waiting to serve tea to the wards.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_61.htm
b20944536,http://www.catalog.slsa.sa.gov.au/record=b2094453,http://www.catalog.slsa.sa.gov.au/xrecord=b2094453,,Keswick Hospital : Bell,[approximately 1920],Photograph  23 x 9 cm;RESERVE 1 album,'The Keswick Hospital bell (Belle)'. 4.30 p.m. Rhoda ringing the bell for tea.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_63.htm
b20944548,http://www.catalog.slsa.sa.gov.au/record=b2094454,http://www.catalog.slsa.sa.gov.au/xrecord=b2094454,,Keswick Hospital : Extract from letter,[approximately 1920],Photograph  16 x 11.5 cm;RESERVE 1 album,Extract from a letter from R.S. Rogers Lieut. Col. dated 23.10.20 thanking them for the photographs.,"Rogers, R. S. (Richard Sanders), 1861-1942;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_62.htm
b20944561,http://www.catalog.slsa.sa.gov.au/record=b2094456,http://www.catalog.slsa.sa.gov.au/xrecord=b2094456,,Keswick Hospital : Tea for the wards,[approximately 1917],Photograph  16 x 11.5 cm;RESERVE 1 album,Interior of the Diggers dining hall. The ward attendants assisting the 'Keswick Hospital Helpers' to serve tea to the various wards.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_64.htm
b20944585,http://www.catalog.slsa.sa.gov.au/record=b2094458,http://www.catalog.slsa.sa.gov.au/xrecord=b2094458,,Keswick Hospital : Private Molloy,[approximately 1917],Photograph  8 x 10 cm;RESERVE 1 album,"Outside No. 1 ward. Private Molloy, hero of the 4th campaign.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_65.htm
b20944597,http://www.catalog.slsa.sa.gov.au/record=b2094459,http://www.catalog.slsa.sa.gov.au/xrecord=b2094459,,Keswick Hospital : Blair and Drabsk,[approximately 1917],Photograph  8 x 10 cm;RESERVE 1 album,Outside No. 2 ward. Blair and Drabsk. Two auburn haired pals.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_66.htm
b20944603,http://www.catalog.slsa.sa.gov.au/record=b2094460,http://www.catalog.slsa.sa.gov.au/xrecord=b2094460,,Keswick Hospital : Pte Morgan and Sgt Rice,[approximately 1917],Photograph  10.5 x 8 cm;RESERVE 1 album,Outside No. 2 ward. Pte Morgan and Sgt Rice (T.B. patient) (gone west).,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_67.htm
b20944615,http://www.catalog.slsa.sa.gov.au/record=b2094461,http://www.catalog.slsa.sa.gov.au/xrecord=b2094461,,Keswick Hospital : Outside No. 2 ward,[approximately 1917],Photograph  10.5 x 8 cm;RESERVE 1 album,A group of patients outside No. 2 ward.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_68.htm
b20944639,http://www.catalog.slsa.sa.gov.au/record=b2094463,http://www.catalog.slsa.sa.gov.au/xrecord=b2094463,,Keswick Hospital : Outside No. 2 ward,[approximately 1917],Photograph  10.5 x 8 cm;RESERVE 1 album,Sisters Hicks and Hamp with patients outside No. 2 ward.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_69.htm
b20944664,http://www.catalog.slsa.sa.gov.au/record=b2094466,http://www.catalog.slsa.sa.gov.au/xrecord=b2094466,,Keswick Hospital : Copy of letter,[approximately 1919],Photograph  23 x 12.5 cm;RESERVE 1 album,Copy of a letter from H.H.E. Russell Lieut. Col. re appreciation of good work. There is no indication to whom the letter was written.,"Russell, Herbert Henry Ernest, 1875-1951;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_70.htm
b20944706,http://www.catalog.slsa.sa.gov.au/record=b2094470,http://www.catalog.slsa.sa.gov.au/xrecord=b2094470,,Keswick Hospital : Outside No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"Holmes, Eastwood, Copley and Tanne outside No. 4 ward.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_71.htm
b20944718,http://www.catalog.slsa.sa.gov.au/record=b2094471,http://www.catalog.slsa.sa.gov.au/xrecord=b2094471,,Keswick Hospital : Outside No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,Morrison and McDonoue outside No. 4 ward.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_72.htm
b2094472x,http://www.catalog.slsa.sa.gov.au/record=b2094472,http://www.catalog.slsa.sa.gov.au/xrecord=b2094472,,Keswick Hospital : Outside No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"Pte Phillips, orderly and Ah Goon (Poor old John). outside No. 4 ward.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_73.htm
b20944731,http://www.catalog.slsa.sa.gov.au/record=b2094473,http://www.catalog.slsa.sa.gov.au/xrecord=b2094473,,Keswick Hospital : Front entrance,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"Sister Smith, Sgt Champion and Sister Furniss R.R.C. No. 4 ward.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_74.htm
b20944743,http://www.catalog.slsa.sa.gov.au/record=b2094474,http://www.catalog.slsa.sa.gov.au/xrecord=b2094474,,Keswick Hospital : Patients from No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,Patients from No. 4 ward.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_75.htm
b20944755,http://www.catalog.slsa.sa.gov.au/record=b2094475,http://www.catalog.slsa.sa.gov.au/xrecord=b2094475,,Keswick Hospital : E.H. Bowyer and J.C. Boehm,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,From No. 4 ward. Signrs. E.H. Bowyer and J.C. Boehm 24 Reinforcements of 9th Light Horse. Left for the front 31/1/1917.,"Bowyer, Ernest Herbert, 1898-;Boehm, Julius Carl, 1898-1964;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_76.htm
b20944767,http://www.catalog.slsa.sa.gov.au/record=b2094476,http://www.catalog.slsa.sa.gov.au/xrecord=b2094476,,Keswick Hospital : Officers of No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"No. 4 ward. The Officers. Sisters White, Souter, Liddy, Kilsby, Capt. Birt, Lt. McDermid, Major Burk (Kewpie).","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_77.htm
b20944779,http://www.catalog.slsa.sa.gov.au/record=b2094477,http://www.catalog.slsa.sa.gov.au/xrecord=b2094477,,Keswick Hospital : Interior of No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"Interior of No. 4 ward - now the Diggers Ward. Standing - Mildwater, Rowley  sitting - A. McArthur (double amputation case), Langley.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_78.htm
b20944780,http://www.catalog.slsa.sa.gov.au/record=b2094478,http://www.catalog.slsa.sa.gov.au/xrecord=b2094478,,Keswick Hospital : Interior of No. 4 ward,[approximately 1919],Photograph  10 x 8 cm;RESERVE 1 album,"Interior of No. 4 ward - now the Diggers Ward. Standing - Sisters Wakefield, Giles, White and Pte. Rowley  sitting - A. McArthur (double amputation case), Langley.","World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_79.htm
b20944792,http://www.catalog.slsa.sa.gov.au/record=b2094479,http://www.catalog.slsa.sa.gov.au/xrecord=b2094479,,Keswick Hospital : Copy of letter,[approximately 1921],Photograph  23 x 12.5 cm;RESERVE 1 album,Copy of letter by A. McArthur dated 16th April 1921 thanking the helpers for their work.,"McArthur, A.;World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_80.htm
b20944809,http://www.catalog.slsa.sa.gov.au/record=b2094480,http://www.catalog.slsa.sa.gov.au/xrecord=b2094480,,Keswick Hospital : Ward attendants,[approximately 1920],Photograph  23 x 12.5 cm;RESERVE 1 album,The ward attendants. Taken on the occasion of the Prince of Wales visit to Keswick Hospital. 15/7/1920.,"World War, 1914-1918 -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick;Nurses -- South Australia -- Keswick;Keswick (S.A.)",Album Collection,http://collections.slsa.sa.gov.au/mpcimg/26500/B26285_81.htm
